"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2005","Louisiana Monroe","Sun Belt","-15.477","99","109","85","110","","99","24.925","36.881","26.363","33.427"
"2005","Troy","Sun Belt","-13.599","106","103","97","116","","110","23.72","11.987","48.538","54.026"
"2005","Alabama","SEC","14.764","10","16","15","49","","18","71.044","54.36","81.119","45.744"
"2005","Ole Miss","SEC","-5.045","94","81","90","58","","80","34.282","17.121","60.369","47.121"
"2005","Mississippi State","SEC","-5.214","91","82","104","51","","90","28.669","23.242","47.748","31.011"
"2005","Arkansas","SEC","6.423","69","41","67","47","","41","57.755","47.23","61.682","60.979"
"2005","Western Michigan","Mid-American","-9.917","68","95","49","111","","82","36.709","44.586","30.543","63.31"
"2005","Ball State","Mid-American","-15.149","90","107","105","70","","98","24.162","25.865","26.474","64.526"
"2005","Eastern Michigan","Mid-American","-12.691","103","100","78","100","","92","35.418","41.978","31.814","59.76"
"2005","Central Michigan","Mid-American","-7.441","77","89","92","97","","103","38.621","37.678","44.605","48.164"
"2005","Northern Illinois","Mid-American","1.121","74","60","35","102","","65","55.153","68.833","41.847","45.124"
"2005","Marshall","Conference USA","-11.272","100","98","100","92","","106","28.148","27.083","41.834","37.308"
"2005","Buffalo","Mid-American","-23.065","116","118","117","103","","110","10.526","10.662","31.672","18.366"
"2005","Florida State","ACC","11.676","23","23","46","23","","29","65.876","45.321","71.977","71.289"
"2005","Boston College","ACC","12.086","17","22","32","31","","24","69.819","62.095","75.698","31.058"
"2005","Clemson","ACC","10.8","27","27","28","33","","23","68.907","72.499","60.087","43.114"
"2005","NC State","ACC","7.484","35","38","50","42","","40","57.73","36.111","70.361","60.011"
"2005","Wake Forest","ACC","1.062","73","61","86","27","","63","47.363","40.941","48.231","67.397"
"2005","Virginia Tech","ACC","22.642","9","4","9","35","","10","83.208","74.99","77.212","66.975"
"2005","Miami","ACC","16.729","16","11","16","45","","15","79.606","62.431","79.511","71.468"
"2005","Georgia Tech","ACC","6.564","28","40","58","13","","35","60.944","50.772","77.856","21.355"
"2005","North Carolina","ACC","1.899","39","57","79","5","","47","48.78","40.632","60.595","41.03"
"2005","Virginia","ACC","7.688","34","37","52","52","","38","59.364","67.091","44.34","61.181"
"2005","Duke","ACC","-13.793","108","104","110","39","","100","20.171","19.427","33.063","43.296"
"2005","Bowling Green","Mid-American","-1.217","81","69","39","106","","69","45.809","63.896","35.685","29.658"
"2005","Florida Atlantic","Sun Belt","-19.686","113","115","109","96","","108","18.268","19.703","32.001","30.396"
"2005","Florida International","Sun Belt","-15.12","102","106","88","117","","104","22.989","30.271","28.666","36.538"
"2005","Army","FBS Independents","-9.849","95","94","84","80","","86","34.377","36.088","38.96","48.279"
