"Year","Rank","Team","Points"
"2024","114","Louisiana Monroe","138.75"
"2024","115","Temple","138.09"
"2024","116","Hawai'i","137.6"
"2024","117","Louisiana","137.49"
"2024","118","Connecticut","133.58"
"2024","119","Middle Tennessee","131.88"
"2024","120","Georgia State","126.1"
"2024","121","Utah State","125.72"
"2024","122","Rice","121.73"
"2024","123","UT San Antonio","121.57"
"2024","124","Sam Houston State","121.16"
"2024","125","Old Dominion","119.46"
"2024","126","UMass","119.41"
"2024","127","Nevada","113.08"
"2024","128","Jacksonville State","110.7"
"2024","129","Houston Christian","94.44"
"2024","130","Kennesaw State","83.66"
"2024","131","Sacramento State","71.51"
"2024","132","Jackson State","70.19"
"2024","133","Central Arkansas","68.48"
"2024","134","New Mexico State","67.75"
"2024","135","Cal Poly","58.35"
"2024","136","Campbell","57.27"
"2024","137","Grambling","56.69"
"2024","138","Utah Tech","56.67"
"2024","139","Bethune-Cookman","56.37"
"2024","140","Montana State","55.79"
"2024","141","Eastern Kentucky","55.24"
"2024","142","North Dakota State","52.42"
"2024","144","Princeton","44.95"
"2024","145","Murray State","43.72"
"2024","146","Stephen F. Austin","41.92"
"2024","147","Austin Peay","41.01"
"2024","149","Portland State","40.91"
"2024","150","Eastern Washington","40.13"
"2024","151","Stony Brook","38.82"
"2024","152","Army","37.76"
"2024","153","Navy","37.64"
"2024","155","Delaware","36.17"
"2024","156","Nicholls","34.4"
"2024","157","Western Carolina","33.74"
"2024","158","Idaho","32.43"
"2024","159","Monmouth","32.38"
"2024","160","Hampton","30.66"
"2024","161","Mississippi Valley State","30.33"
"2024","162","Holy Cross","29.39"
"2024","163","New Hampshire","29.33"
"2024","164","Tennessee State","29.23"
"2024","165","Weber State","28.8"
"2024","166","Pennsylvania","28.51"
"2024","167","Georgetown","27.92"
"2024","168","McNeese","27.89"
"2024","169","UC Davis","27.25"
"2024","170","Southeastern Louisiana","26.92"
"2024","171","Wofford","24.65"
"2024","172","Air Force","23.21"
"2024","173","South Dakota","18"
"2024","174","Southern Illinois","17.14"
"2024","175","Duquesne","16.86"
"2024","176","Northern Iowa","16.22"
"2024","177","Brown","16.14"
"2024","178","Bryant","16"
"2024","180","Norfolk State","15.83"
"2024","181","Lamar","15.52"
"2024","181","Northern Arizona","15.52"
"2024","183","Towson","15.5"
"2024","184","Lehigh","15.25"
"2024","187","Yale","14.81"
"2024","188","Rhode Island","14.78"
"2024","188","North Carolina A&T","14.78"
"2024","190","Fordham","14.52"
"2024","191","South Dakota State","14.44"
"2024","192","North Carolina Central","14.22"
"2024","193","Alabama State","14.19"
"2024","194","Colgate","13.7"
"2024","195","Sacred Heart","13.67"
"2024","196","Harvard","13.44"
"2024","197","Villanova","12.5"
"2024","198","Grand Valley State","11.7"
"2024","200","Northern Colorado","11.06"
"2024","201","New Mexico","10.22"
