"Year","Rank","Team","Points"
"2014","133","Portland State","63.88"
"2014","134","Northern Arizona","53.85"
"2014","135","Charleston Southern","48.60"
"2014","136","Jacksonville State","47.91"
"2014","138","Albany","42.37"
"2014","139","Southern Illinois","41.96"
"2014","140","Harvard","41.25"
"2014","141","South Carolina State","40.82"
"2014","142","North Dakota State","36.88"
"2014","143","Stony Brook","35.51"
"2014","144","Samford","34.42"
"2014","145","Tennessee Tech","32.99"
"2014","146","Kennesaw State","32.95"
"2014","147","Nicholls","32.13"
"2014","148","Furman","30.83"
"2014","149","Princeton","30.57"
"2014","150","Indiana State","30.33"
"2014","151","Missouri State","28.44"
"2014","152","UC Davis","27.34"
"2014","153","Tennessee State","26.59"
"2014","154","Wofford","26.57"
"2014","155","Murray State","25.60"
"2014","156","Austin Peay","25.04"
"2014","157","Northern Iowa","24.32"
"2014","158","Eastern Illinois","24.03"
"2014","159","East Tennessee State","23.78"
"2014","160","Mercer","23.50"
"2014","161","Southeast Missouri State","23.39"
"2014","162","Towson","21.77"
"2014","163","Bethune-Cookman","20.62"
"2014","164","Northern Colorado","20.55"
"2014","165","Delaware","20.34"
"2014","166","James Madison","20.20"
"2014","167","Alabama State","20.09"
"2014","168","Coastal Carolina","19.95"
"2014","169","Monmouth","19.29"
"2014","170","Richmond","19.26"
"2014","171","Fordham","18.92"
"2014","173","Youngstown State","18.81"
"2014","174","William & Mary","18.18"
"2014","175","South Dakota State","17.23"
"2014","176","Rhode Island","17.00"
"2014","178","The Citadel","16.76"
"2014","179","Eastern Washington","16.52"
"2014","180","Lamar","16.46"
"2014","181","Lafayette","15.94"
"2014","182","Central Arkansas","15.73"
"2014","183","Western Illinois","15.51"
"2014","184","Holy Cross","15.49"
"2014","185","Southeastern Louisiana","14.95"
"2014","187","Savannah State","14.24"
"2014","188","Jackson State","14.23"
"2014","189","McNeese","14.19"
"2014","190","Pennsylvania","13.96"
"2014","193","Sam Houston State","13.29"
"2014","194","Idaho State","13.29"
"2014","195","Colgate","13.26"
"2014","196","Eastern Kentucky","13.24"
"2014","197","Grambling","13.18"
"2014","198","Jacksonville","12.94"
"2014","199","Presbyterian College","12.63"
"2014","202","Villanova","11.66"
"2014","203","New Hampshire","11.22"
"2014","206","UT Martin","10.84"
"2014","208","Western Carolina","10.50"
"2014","210","Northwestern State","10.04"
"2014","211","Robert Morris","9.95"
"2014","212","Delaware State","9.86"
"2014","213","Houston Christian","9.34"
"2014","214","Hampton","9.04"
"2014","216","Georgetown","8.93"
"2014","217","North Carolina Central","8.89"
"2014","218","Cornell","8.82"
"2014","219","Norfolk State","8.64"
"2014","221","Duquesne","8.32"
"2014","223","Prairie View","7.93"
"2014","224","Liberty","7.63"
"2014","225","Lehigh","7.43"
"2014","226","North Carolina A&T","6.67"
"2014","227","Sacramento State","6.67"
"2014","228","Stephen F. Austin","6.67"
"2014","229","Cal Poly","6.67"
"2014","230","Columbia","6.67"
"2014","231","Elon","6.67"
"2014","232","Montana State","6.64"
"2014","233","South Dakota","6.64"
"2014","234","Maine","6.59"
"2014","235","Bucknell","6.31"
"2014","236","Campbell","5.95"
"2014","242","Howard","3.98"
"2014","245","Texas Southern","1.97"
"2014","279","Marist","-0.03"
"2014","280","St Francis (PA)","-0.03"
"2014","283","Wagner","-0.03"
"2014","286","Southern","-0.03"
"2014","287","Butler","-0.03"
"2014","295","Florida A&M","-0.03"
"2014","300","North Dakota","-0.08"
"2014","301","VMI","-0.09"
